MNST - Monster Beverage,MNST/monster-beverage
DLR - Digital Realty Trust,DLR/digital-realty-trust
E - Eni SpA,E/eni-spa
CNQ - Canadian Natural Resources,CNQ/canadian-natural-resources
PAYX - Paychex,PAYX/paychex
CMG - Chipotle Mexican Grill,CMG/chipotle-mexican-grill
NEM - Newmont,NEM/newmont
VMW - VMware,VMW/vmware
CNC - Centene,CNC/centene
HMC - Honda,HMC/honda
A - Agilent Technologies,A/agilent-technologies
MCHP - Microchip Technology,MCHP/microchip-technology
CRWD - CrowdStrike,CRWD/crowdstrike
BK - Bank Of New York Mellon,BK/bank-of-new-york-mellon
CP - Canadian Pacific Railway,CP/canadian-pacific-railway
TT - Trane Technologies,TT/trane-technologies
KMB - Kimberly-Clark,KMB/kimberly-clark
RACE - Ferrari,RACE/ferrari
EPD - Enterprise Products Partners,EPD/enterprise-products-partners
SCCO - Southern Copper,SCCO/southern-copper
TWLO - Twilio,TWLO/twilio
ORLY - O'Reilly Automotive,ORLY/oreilly-automotive
LFC - China Life Insurance,LFC/china-life-insurance
PUK - Prudential Public,PUK/prudential-public
AIG - American,AIG/american
STZ.B - Constellation Brands Inc,STZ.B/constellation-brands-inc
BCE - BCE,BCE/bce
STZ - Constellation Brands Inc,STZ/constellation-brands-inc
CTSH - Cognizant Technology Solutions,CTSH/cognizant-technology-solutions
SMFG - Sumitomo Mitsui Financial Group Inc,SMFG/sumitomo-mitsui-financial-group-inc
CARR - Carrier Global,CARR/carrier-global
MSI - Motorola Solutions,MSI/motorola-solutions
ZS - Zscaler,ZS/zscaler
CTAS - Cintas,CTAS/cintas
TTD - Trade Desk,TTD/trade-desk
SPOT - Spotify Technology,SPOT/spotify-technology
TRP - TC Energy,TRP/tc-energy
LYG - Lloyds Banking Group,LYG/lloyds-banking-group
WBA - Walgreens,WBA/walgreens
STM - STMicroelectronics,STM/stmicroelectronics
AEP - American Electric Power,AEP/american-electric-power
TROW - T Rowe Price,TROW/t-rowe-price
PXD - Pioneer Natural Resources,PXD/pioneer-natural-resources
APTV - Aptiv,APTV/aptiv
ANET - Arista Networks,ANET/arista-networks
RSG - Republic Services,RSG/republic-services
KKR - KKR,KKR/kkr
KHC - Kraft Heinz,KHC/kraft-heinz
BCS - Barclays,BCS/barclays
ABEV - Ambev S.A,ABEV/ambev-sa
EBAY - EBay,EBAY/ebay
NU - Nu Holdings,NU/nu-holdings
BAX - Baxter,BAX/baxter
HLT - Hilton Worldwide Holdings,HLT/hilton-worldwide-holdings
DELL - Dell,DELL/dell
AZO - AutoZone,AZO/autozone
ALC - Alcon,ALC/alcon
TAK - Takeda Pharmaceutical,TAK/takeda-pharmaceutical
NET - Cloudflare,NET/cloudflare
SBAC - SBA Communications,SBAC/sba-communications
NTR - Nutrien,NTR/nutrien
SRE - Sempra Energy,SRE/sempra-energy
DOW - Dow,DOW/dow
DD - DuPont De Nemours,DD/dupont-de-nemours
SLB - Schlumberger,SLB/schlumberger
LHX - L3Harris Technologies Inc,LHX/l3harris-technologies-inc
U - Unity Software,U/unity-software
VOD - Vodafone Group,VOD/vodafone-group
PRU - Prudential Financial,PRU/prudential-financial
ODFL - Old Dominion Freight Line,ODFL/old-dominion-freight-line
HPQ - HP,HPQ/hp
CRH - CRH,CRH/crh
PPG - PPG Industries,PPG/ppg-industries
YUM - Yum! Brands,YUM/yum!-brands
PH - Parker-Hannifin,PH/parker-hannifin
GIS - General Mills,GIS/general-mills
FERG - Wolseley,FERG/wolseley
ROST - Ross Stores,ROST/ross-stores
CVNA - Carvana,CVNA/carvana
ROK - Rockwell Automation,ROK/rockwell-automation
SYY - Sysco,SYY/sysco
VEEV - Veeva Systems,VEEV/veeva-systems
SIVB - SVB Financial Group,SIVB/svb-financial-group
GPN - Global Payments,GPN/global-payments
HSY - Hershey,HSY/hershey
XPEV - XPeng,XPEV/xpeng
BBVA - Banco Bilbao Viscaya Argentaria S.A,BBVA/banco-bilbao-viscaya-argentaria-sa
MTD - Mettler-Toledo,MTD/mettler-toledo
MPC - Marathon Petroleum,MPC/marathon-petroleum
LQD - IShares IBoxx $ Investment Grade Corporate Bond ETF,LQD/ishares-iboxx-$-investment-grade-corporate-bond-etf
AFL - Aflac,AFL/aflac
TRV - Travelers,TRV/travelers
DHI - D.R Horton,DHI/dr-horton
EPAM - EPAM Systems,EPAM/epam-systems
RMD - ResMed,RMD/resmed
EA - Electronic Arts,EA/electronic-arts
MCK - McKesson,MCK/mckesson
STLA - Stellantis,STLA/stellantis
KEYS - Keysight Technologies,KEYS/keysight-technologies
IFF - International Flavors & Fragrances,IFF/international-flavors-fragrances
MTCH - Match Group,MTCH/match-group
ADM - Archer Daniels Midland,ADM/archer-daniels-midland
WELL - Welltower,WELL/welltower
MFC - Manulife Financial Corp,MFC/manulife-financial-corp
VRSK - Verisk Analytics,VRSK/verisk-analytics
XEL - Xcel Energy,XEL/xcel-energy
FAST - Fastenal,FAST/fastenal
OTIS - Otis Worldwide,OTIS/otis-worldwide
ITUB - Itau Unibanco Holding S.A,ITUB/itau-unibanco-holding-sa
PLTR - Palantir Technologies,PLTR/palantir-technologies
ERIC - Ericsson,ERIC/ericsson
FRC - First Republic Bank,FRC/first-republic-bank
CBRE - CBRE,CBRE/cbre
SU - Suncor Energy ,SU/suncor-energy-
